Date,구장,원정팀,원정팀점수,홈팀점수,홈팀,연도,원정팀결과,홈팀결과,Wins,Losses,누적승률,누적이동거리
03.28(토),광주,LG,1,3,KIA,2015,패,승,0,1,0.0,0.0
03.29(일),광주,LG,6,7,KIA,2015,패,승,0,2,0.0,0.0
03.31(화),잠실,롯데,7,1,LG,2015,승,패,1,2,0.3333333333333333,261.0
04.01(수),잠실,롯데,2,3,LG,2015,패,승,1,3,0.25,261.0
04.03(금),잠실,삼성,7,3,LG,2015,승,패,2,3,0.4,261.0
04.04(토),잠실,삼성,2,3,LG,2015,패,승,2,4,0.3333333333333333,261.0
04.05(일),잠실,삼성,5,6,LG,2015,패,승,2,5,0.2857142857142857,261.0
04.07(화),대전,LG,3,4,한화,2015,패,승,2,6,0.25,433.0
04.08(수),대전,LG,3,2,한화,2015,승,패,3,6,0.3333333333333333,433.0
04.09(목),대전,LG,4,5,한화,2015,패,승,3,7,0.3,433.0
04.10(금),잠실,두산,2,5,LG,2015,패,승,3,8,0.2727272727272727,605.0
04.11(토),잠실,두산,9,6,LG,2015,승,패,4,8,0.3333333333333333,605.0
04.12(일),잠실,두산,2,3,LG,2015,패,승,4,9,0.3076923076923077,605.0
04.15(수),잠실,KIA,9,4,LG,2015,승,패,5,9,0.35714285714285715,605.0
04.16(목),잠실,KIA,5,10,LG,2015,패,승,5,10,0.3333333333333333,605.0
04.17(금),문학,LG,6,1,SSG,2015,승,패,6,10,0.375,659.0
04.18(토),문학,LG,4,8,SSG,2015,패,승,6,11,0.35294117647058826,659.0
04.21(화),잠실,한화,0,10,LG,2015,패,승,6,12,0.3333333333333333,713.0
04.22(수),잠실,한화,5,2,LG,2015,승,패,7,12,0.3684210526315789,713.0
04.23(목),잠실,한화,2,5,LG,2015,패,승,7,13,0.35,713.0
04.24(금),창원,LG,3,11,NC,2015,패,승,7,14,0.3333333333333333,1076.0
04.25(토),창원,LG,6,2,NC,2015,승,패,8,14,0.36363636363636365,1076.0
04.26(일),창원,LG,7,6,NC,2015,승,패,9,14,0.391304347826087,1076.0
04.28(화),대구,LG,7,4,삼성,2015,승,패,10,14,0.4166666666666667,1179.0
04.29(수),대구,LG,2,6,삼성,2015,패,승,10,15,0.4,1179.0
04.30(목),대구,LG,5,8,삼성,2015,패,승,10,16,0.38461538461538464,1179.0
05.01(금),잠실,키움,3,1,LG,2015,승,패,11,16,0.4074074074074074,1476.0
05.02(토),잠실,키움,4,3,LG,2015,승,패,12,16,0.42857142857142855,1476.0
05.03(일),잠실,키움,6,2,LG,2015,승,패,13,16,0.4482758620689655,1476.0
05.05(화),잠실,LG,3,10,두산,2015,패,승,13,17,0.43333333333333335,1476.0
05.06(수),잠실,LG,4,5,두산,2015,패,승,13,18,0.41935483870967744,1476.0
05.07(목),잠실,LG,6,4,두산,2015,승,패,14,18,0.4375,1476.0
05.08(금),수원,LG,3,7,KT,2015,패,승,14,19,0.42424242424242425,1512.0
05.09(토),수원,LG,2,3,KT,2015,패,승,14,20,0.4117647058823529,1512.0
05.10(일),수원,LG,6,2,KT,2015,승,패,15,20,0.42857142857142855,1512.0
05.13(수),잠실,NC,2,6,LG,2015,패,승,15,21,0.4166666666666667,1548.0
05.14(목),잠실,NC,0,0,LG,2015,무,무,15,21,0.4166666666666667,1548.0
05.15(금),잠실,SSG,5,2,LG,2015,승,패,16,21,0.43243243243243246,1548.0
05.16(토),잠실,SSG,7,6,LG,2015,승,패,17,21,0.4473684210526316,1548.0
05.17(일),잠실,SSG,4,6,LG,2015,패,승,17,22,0.4358974358974359,1548.0
05.19(화),고척,LG,10,12,키움,2015,패,승,17,23,0.425,1579.0
05.20(수),고척,LG,4,9,키움,2015,패,승,17,24,0.4146341463414634,1579.0
05.21(목),고척,LG,4,3,키움,2015,승,패,18,24,0.42857142857142855,1579.0
05.22(금),사직,LG,20,12,롯데,2015,승,패,19,24,0.4418604651162791,1993.0
05.23(토),사직,LG,11,19,롯데,2015,패,승,19,25,0.4318181818181818,1993.0
05.24(일),사직,LG,3,10,롯데,2015,패,승,19,26,0.4222222222222222,1993.0
05.26(화),잠실,KT,2,5,LG,2015,패,승,19,27,0.41304347826086957,2393.0
05.27(수),잠실,KT,1,8,LG,2015,패,승,19,28,0.40425531914893614,2393.0
05.28(목),잠실,KT,4,0,LG,2015,승,패,20,28,0.4166666666666667,2393.0
05.29(금),잠실,삼성,4,1,LG,2015,승,패,21,28,0.42857142857142855,2393.0
05.30(토),잠실,삼성,4,1,LG,2015,승,패,22,28,0.44,2393.0
05.31(일),잠실,삼성,9,3,LG,2015,승,패,23,28,0.45098039215686275,2393.0
06.02(화),창원,LG,18,5,NC,2015,승,패,24,28,0.46153846153846156,2756.0
06.03(수),창원,LG,8,4,NC,2015,승,패,25,28,0.4716981132075472,2756.0
06.04(목),창원,LG,4,1,NC,2015,승,패,26,28,0.48148148148148145,2756.0
06.05(금),잠실,SSG,2,3,LG,2015,패,승,26,29,0.4727272727272727,3119.0
06.06(토),잠실,SSG,8,5,LG,2015,승,패,27,29,0.48214285714285715,3119.0
06.07(일),잠실,SSG,3,0,LG,2015,승,패,28,29,0.49122807017543857,3119.0
06.09(화),잠실,두산,5,2,LG,2015,승,패,29,29,0.5,3119.0
06.10(수),잠실,두산,1,5,LG,2015,패,승,29,30,0.4915254237288136,3119.0
06.11(목),잠실,두산,6,0,LG,2015,승,패,30,30,0.5,3119.0
06.12(금),대전,LG,10,7,한화,2015,승,패,31,30,0.5081967213114754,3291.0
06.13(토),대전,LG,1,8,한화,2015,패,승,31,31,0.5,3291.0
06.14(일),대전,LG,3,8,한화,2015,패,승,31,32,0.49206349206349204,3291.0
06.16(화),잠실,KIA,4,3,LG,2015,승,패,32,32,0.5,3463.0
06.17(수),잠실,KIA,0,5,LG,2015,패,승,32,33,0.49230769230769234,3463.0
06.18(목),잠실,KIA,3,5,LG,2015,패,승,32,34,0.48484848484848486,3463.0
06.19(금),고척,LG,4,2,키움,2015,승,패,33,34,0.4925373134328358,3494.0
06.21(일),고척,LG,3,4,키움,2015,패,승,33,35,0.4852941176470588,3494.0
06.23(화),수원,LG,4,8,KT,2015,패,승,33,36,0.4782608695652174,3527.0
06.24(수),수원,LG,6,2,KT,2015,승,패,34,36,0.4857142857142857,3527.0
06.25(목),수원,LG,10,4,KT,2015,승,패,35,36,0.49295774647887325,3527.0
06.26(금),잠실,NC,6,3,LG,2015,승,패,36,36,0.5,3563.0
06.27(토),잠실,NC,5,9,LG,2015,패,승,36,37,0.4931506849315068,3563.0
06.28(일),잠실,NC,1,4,LG,2015,패,승,36,38,0.4864864864864865,3563.0
07.01(수),잠실,LG,4,8,두산,2015,패,승,36,39,0.48,3563.0
07.02(목),잠실,LG,7,2,두산,2015,승,패,37,39,0.4868421052631579,3563.0
07.03(금),대구,LG,8,12,삼성,2015,패,승,37,40,0.4805194805194805,3860.0
07.04(토),대구,LG,3,10,삼성,2015,패,승,37,41,0.47435897435897434,3860.0
07.05(일),대구,LG,4,12,삼성,2015,패,승,37,42,0.46835443037974683,3860.0
07.07(화),잠실,롯데,7,6,LG,2015,승,패,38,42,0.475,4157.0
07.08(수),잠실,롯데,0,1,LG,2015,패,승,38,43,0.4691358024691358,4157.0
07.09(목),잠실,롯데,1,2,LG,2015,패,승,38,44,0.4634146341463415,4157.0
07.10(금),잠실,한화,8,5,LG,2015,승,패,39,44,0.46987951807228917,4157.0
07.11(토),잠실,한화,5,3,LG,2015,승,패,40,44,0.47619047619047616,4157.0
07.14(화),광주,LG,3,2,KIA,2015,승,패,41,44,0.4823529411764706,4418.0
07.16(목),광주,LG,1,15,KIA,2015,패,승,41,45,0.47674418604651164,4418.0
07.21(화),잠실,키움,4,1,LG,2015,승,패,42,45,0.4827586206896552,4679.0
07.22(수),잠실,키움,3,5,LG,2015,패,승,42,46,0.4772727272727273,4679.0
07.26(일),잠실,KT,0,9,LG,2015,패,승,42,47,0.47191011235955055,4679.0
07.28(화),사직,LG,0,3,롯데,2015,패,승,42,48,0.4666666666666667,5079.0
07.29(수),사직,LG,2,3,롯데,2015,패,승,42,49,0.46153846153846156,5079.0
07.30(목),사직,LG,8,5,롯데,2015,승,패,43,49,0.4673913043478261,5079.0
07.31(금),문학,LG,1,3,SSG,2015,패,승,43,50,0.46236559139784944,5496.0
08.01(토),문학,LG,8,4,SSG,2015,승,패,44,50,0.46808510638297873,5496.0
08.02(일),문학,LG,2,8,SSG,2015,패,승,44,51,0.4631578947368421,5496.0
08.04(화),잠실,NC,8,1,LG,2015,승,패,45,51,0.46875,5550.0
08.05(수),잠실,NC,6,2,LG,2015,승,패,46,51,0.4742268041237113,5550.0
08.06(목),대전,LG,1,4,한화,2015,패,승,46,52,0.46938775510204084,5722.0
08.07(금),대전,LG,6,5,한화,2015,승,패,47,52,0.47474747474747475,5722.0
08.08(토),잠실,LG,4,3,두산,2015,승,패,48,52,0.48,5894.0
08.09(일),잠실,LG,1,9,두산,2015,패,승,48,53,0.4752475247524752,5894.0
08.11(화),잠실,삼성,3,7,LG,2015,패,승,48,54,0.47058823529411764,5894.0
08.12(수),잠실,삼성,4,1,LG,2015,승,패,49,54,0.47572815533980584,5894.0
08.13(목),문학,LG,16,7,SSG,2015,승,패,50,54,0.4807692307692308,5948.0
08.14(금),문학,LG,2,8,SSG,2015,패,승,50,55,0.47619047619047616,5948.0
08.15(토),잠실,KIA,2,1,LG,2015,승,패,51,55,0.4811320754716981,6002.0
08.17(월),잠실,KIA,2,3,LG,2015,패,승,51,56,0.4766355140186916,6002.0
08.18(화),사직,LG,4,7,롯데,2015,패,승,51,57,0.4722222222222222,6402.0
08.19(수),사직,LG,2,7,롯데,2015,패,승,51,58,0.46788990825688076,6402.0
08.20(목),잠실,두산,2,4,LG,2015,패,승,51,59,0.4636363636363636,6802.0
08.21(금),잠실,두산,2,1,LG,2015,승,패,52,59,0.46846846846846846,6802.0
08.22(토),잠실,키움,3,4,LG,2015,패,승,52,60,0.4642857142857143,6802.0
08.23(일),잠실,키움,4,5,LG,2015,패,승,52,61,0.46017699115044247,6802.0
08.26(수),창원,LG,6,1,NC,2015,승,패,53,61,0.4649122807017544,7165.0
08.27(목),잠실,SSG,6,3,LG,2015,승,패,54,61,0.46956521739130436,7528.0
08.28(금),잠실,SSG,4,0,LG,2015,승,패,55,61,0.47413793103448276,7528.0
08.29(토),대구,LG,8,4,삼성,2015,승,패,56,61,0.47863247863247865,7825.0
08.30(일),대구,LG,9,15,삼성,2015,패,승,56,62,0.4745762711864407,7825.0
09.01(화),고척,LG,2,11,키움,2015,패,승,56,63,0.47058823529411764,8141.0
09.02(수),고척,LG,8,9,키움,2015,패,승,56,64,0.4666666666666667,8141.0
09.03(목),잠실,KT,3,1,LG,2015,승,패,57,64,0.47107438016528924,8172.0
09.04(금),잠실,KT,1,8,LG,2015,패,승,57,65,0.4672131147540984,8172.0
09.05(토),잠실,롯데,9,4,LG,2015,승,패,58,65,0.4715447154471545,8172.0
09.06(일),잠실,롯데,1,1,LG,2015,무,무,58,65,0.4715447154471545,8172.0
09.08(화),잠실,한화,7,8,LG,2015,패,승,58,66,0.46774193548387094,8172.0
09.09(수),잠실,한화,1,8,LG,2015,패,승,58,67,0.464,8172.0
09.10(목),수원,LG,3,4,KT,2015,패,승,58,68,0.4603174603174603,8208.0
09.11(금),수원,LG,5,7,KT,2015,패,승,58,69,0.4566929133858268,8208.0
09.12(토),광주,LG,3,7,KIA,2015,패,승,58,70,0.453125,8448.0
09.13(일),광주,LG,5,2,KIA,2015,승,패,59,70,0.4573643410852713,8448.0
09.16(수),고척,LG,4,1,키움,2015,승,패,60,70,0.46153846153846156,8761.0
09.19(토),잠실,키움,7,5,LG,2015,승,패,61,70,0.46564885496183206,8792.0
09.20(일),잠실,KT,3,7,LG,2015,패,승,61,71,0.4621212121212121,8792.0
09.21(월),잠실,KT,4,1,LG,2015,승,패,62,71,0.46616541353383456,8792.0
09.22(화),광주,LG,15,5,KIA,2015,승,패,63,71,0.4701492537313433,9053.0
09.25(금),창원,LG,5,4,NC,2015,승,패,64,71,0.4740740740740741,9265.0
09.27(일),잠실,LG,10,3,두산,2015,승,패,65,71,0.47794117647058826,9628.0
09.28(월),잠실,KIA,4,8,LG,2015,패,승,65,72,0.4744525547445255,9628.0
09.30(수),문학,LG,1,8,SSG,2015,패,승,65,73,0.47101449275362317,9682.0
10.01(목),잠실,NC,7,2,LG,2015,승,패,66,73,0.4748201438848921,9736.0
10.02(금),잠실,한화,6,3,LG,2015,승,패,67,73,0.4785714285714286,9736.0
10.03(토),잠실,롯데,2,5,LG,2015,패,승,67,74,0.475177304964539,9736.0
10.06(화),광주,LG,4,2,KIA,2015,승,패,68,74,0.4788732394366197,9997.0
04.01(금),잠실,한화,4,5,LG,2016,패,승,68,75,0.4755244755244755,0.0
04.02(토),잠실,한화,7,8,LG,2016,패,승,68,76,0.4722222222222222,0.0
04.05(화),광주,LG,1,4,KIA,2016,패,승,68,77,0.4689655172413793,261.0
04.07(목),광주,LG,8,4,KIA,2016,승,패,69,77,0.4726027397260274,261.0
04.08(금),문학,LG,2,3,SSG,2016,패,승,69,78,0.46938775510204084,530.0
04.09(토),문학,LG,3,4,SSG,2016,패,승,69,79,0.46621621621621623,530.0
04.10(일),문학,LG,6,7,SSG,2016,패,승,69,80,0.46308724832214765,530.0
04.12(화),잠실,롯데,11,12,LG,2016,패,승,69,81,0.46,584.0
04.13(수),잠실,롯데,3,5,LG,2016,패,승,69,82,0.45695364238410596,584.0
04.14(목),잠실,롯데,9,0,LG,2016,승,패,70,82,0.4605263157894737,584.0
04.15(금),대전,LG,18,2,한화,2016,승,패,71,82,0.46405228758169936,756.0
04.17(일),대전,LG,6,4,한화,2016,승,패,72,82,0.4675324675324675,756.0
04.19(화),잠실,NC,8,1,LG,2016,승,패,73,82,0.47096774193548385,928.0
04.20(수),잠실,NC,3,6,LG,2016,패,승,73,83,0.46794871794871795,928.0
04.21(목),잠실,NC,8,5,LG,2016,승,패,74,83,0.4713375796178344,928.0
04.22(금),고척,LG,2,10,키움,2016,패,승,74,84,0.46835443037974683,959.0
04.23(토),고척,LG,2,14,키움,2016,패,승,74,85,0.46540880503144655,959.0
04.24(일),고척,LG,5,3,키움,2016,승,패,75,85,0.46875,959.0
04.26(화),대구,LG,2,0,삼성,2016,승,패,76,85,0.4720496894409938,1275.0
04.28(목),대구,LG,7,9,삼성,2016,패,승,76,86,0.4691358024691358,1275.0
04.29(금),잠실,KT,3,4,LG,2016,패,승,76,87,0.4662576687116564,1572.0
04.30(토),잠실,KT,3,2,LG,2016,승,패,77,87,0.4695121951219512,1572.0
05.01(일),잠실,KT,2,4,LG,2016,패,승,77,88,0.4666666666666667,1572.0
05.04(수),잠실,두산,17,1,LG,2016,승,패,78,88,0.46987951807228917,1572.0
05.05(목),잠실,두산,7,8,LG,2016,패,승,78,89,0.46706586826347307,1572.0
05.06(금),창원,LG,2,13,NC,2016,패,승,78,90,0.4642857142857143,1935.0
05.07(토),창원,LG,1,4,NC,2016,패,승,78,91,0.46153846153846156,1935.0
05.08(일),창원,LG,5,11,NC,2016,패,승,78,92,0.4588235294117647,1935.0
05.10(화),잠실,삼성,9,3,LG,2016,승,패,79,92,0.4619883040935672,2298.0
05.11(수),잠실,삼성,2,16,LG,2016,패,승,79,93,0.45930232558139533,2298.0
05.12(목),잠실,삼성,7,5,LG,2016,승,패,80,93,0.4624277456647399,2298.0
05.13(금),잠실,SSG,1,2,LG,2016,패,승,80,94,0.45977011494252873,2298.0
05.14(토),잠실,SSG,3,12,LG,2016,패,승,80,95,0.45714285714285713,2298.0
05.17(화),수원,LG,9,7,KT,2016,승,패,81,95,0.4602272727272727,2334.0
05.18(수),수원,LG,6,2,KT,2016,승,패,82,95,0.4632768361581921,2334.0
05.19(목),수원,LG,4,0,KT,2016,승,패,83,95,0.46629213483146065,2334.0
05.20(금),잠실,키움,3,4,LG,2016,패,승,83,96,0.46368715083798884,2370.0
05.21(토),잠실,키움,7,5,LG,2016,승,패,84,96,0.4666666666666667,2370.0
05.22(일),잠실,키움,4,5,LG,2016,패,승,84,97,0.46408839779005523,2370.0
05.25(수),사직,LG,1,2,롯데,2016,패,승,84,98,0.46153846153846156,2770.0
05.26(목),사직,LG,4,7,롯데,2016,패,승,84,99,0.45901639344262296,2770.0
05.27(금),잠실,LG,1,5,두산,2016,패,승,84,100,0.45652173913043476,3170.0
05.28(토),잠실,LG,2,3,두산,2016,패,승,84,101,0.4540540540540541,3170.0
05.29(일),잠실,LG,16,8,두산,2016,승,패,85,101,0.45698924731182794,3170.0
05.31(화),잠실,KIA,6,6,LG,2016,무,무,85,101,0.45698924731182794,3170.0
06.01(수),잠실,KIA,5,1,LG,2016,승,패,86,101,0.45989304812834225,3170.0
06.02(목),잠실,KIA,1,9,LG,2016,패,승,86,102,0.4574468085106383,3170.0
06.03(금),수원,LG,2,3,KT,2016,패,승,86,103,0.455026455026455,3206.0
06.04(토),수원,LG,13,4,KT,2016,승,패,87,103,0.45789473684210524,3206.0
06.05(일),수원,LG,2,10,KT,2016,패,승,87,104,0.45549738219895286,3206.0
06.07(화),잠실,삼성,8,5,LG,2016,승,패,88,104,0.4583333333333333,3242.0
06.08(수),잠실,삼성,6,12,LG,2016,패,승,88,105,0.45595854922279794,3242.0
06.09(목),잠실,삼성,4,10,LG,2016,패,승,88,106,0.4536082474226804,3242.0
06.10(금),대전,LG,1,2,한화,2016,패,승,88,107,0.4512820512820513,3414.0
06.11(토),대전,LG,5,3,한화,2016,승,패,89,107,0.45408163265306123,3414.0
06.12(일),대전,LG,5,6,한화,2016,패,승,89,108,0.4517766497461929,3414.0
06.14(화),잠실,NC,10,7,LG,2016,승,패,90,108,0.45454545454545453,3586.0
